vocabulary size: 6084
n tunes: 3688
n train tunes: 3504.0
n validation tunes: 184.0
min, max length 14 2452
Building the model
  number of parameters: 57848276
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   37015056   (8, None, 6084)
    InputLayer                       0          (8, None)
    LSTMLayer                        13511680   (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       3121092    (None, 6084)
Train model
1/13140 (epoch 0.002) train_loss=262.61434937 time/batch=0.04s
2/13140 (epoch 0.005) train_loss=12889.05664062 time/batch=1.42s
3/13140 (epoch 0.007) train_loss=122.34982300 time/batch=0.09s
4/13140 (epoch 0.009) train_loss=586.48535156 time/batch=0.07s
5/13140 (epoch 0.011) train_loss=4304.04589844 time/batch=2.00s
6/13140 (epoch 0.014) train_loss=816.49401855 time/batch=0.23s
7/13140 (epoch 0.016) train_loss=564.04321289 time/batch=0.10s
8/13140 (epoch 0.018) train_loss=445.60650635 time/batch=0.07s
9/13140 (epoch 0.021) train_loss=2446.53002930 time/batch=0.37s
10/13140 (epoch 0.023) train_loss=390.78564453 time/batch=0.08s
11/13140 (epoch 0.025) train_loss=767.63018799 time/batch=0.14s
12/13140 (epoch 0.027) train_loss=1563.89990234 time/batch=0.24s
13/13140 (epoch 0.030) train_loss=1519.88281250 time/batch=0.28s
14/13140 (epoch 0.032) train_loss=3895.69067383 time/batch=0.54s
15/13140 (epoch 0.034) train_loss=1505.11987305 time/batch=0.23s
16/13140 (epoch 0.037) train_loss=584.09118652 time/batch=0.10s
17/13140 (epoch 0.039) train_loss=1841.93981934 time/batch=0.27s
18/13140 (epoch 0.041) train_loss=1679.78466797 time/batch=0.31s
19/13140 (epoch 0.043) train_loss=8783.92968750 time/batch=1.60s
20/13140 (epoch 0.046) train_loss=341.44726562 time/batch=0.14s
21/13140 (epoch 0.048) train_loss=532.78515625 time/batch=0.10s
22/13140 (epoch 0.050) train_loss=329.86477661 time/batch=0.05s
23/13140 (epoch 0.053) train_loss=1521.61486816 time/batch=0.22s
24/13140 (epoch 0.055) train_loss=546.09106445 time/batch=0.11s
25/13140 (epoch 0.057) train_loss=4438.44677734 time/batch=0.58s
26/13140 (epoch 0.059) train_loss=2014.67846680 time/batch=0.31s
27/13140 (epoch 0.062) train_loss=2331.47167969 time/batch=0.34s
28/13140 (epoch 0.064) train_loss=327.85906982 time/batch=0.08s
29/13140 (epoch 0.066) train_loss=1571.86523438 time/batch=0.24s
30/13140 (epoch 0.068) train_loss=1836.44421387 time/batch=0.31s
31/13140 (epoch 0.071) train_loss=5001.74707031 time/batch=0.72s
32/13140 (epoch 0.073) train_loss=1483.35156250 time/batch=0.25s
33/13140 (epoch 0.075) train_loss=153.54251099 time/batch=0.04s
34/13140 (epoch 0.078) train_loss=954.34143066 time/batch=0.16s
35/13140 (epoch 0.080) train_loss=2005.72778320 time/batch=0.31s
36/13140 (epoch 0.082) train_loss=789.84857178 time/batch=0.15s
37/13140 (epoch 0.084) train_loss=170.40843201 time/batch=0.03s
38/13140 (epoch 0.087) train_loss=2728.36914062 time/batch=0.40s
39/13140 (epoch 0.089) train_loss=240.07411194 time/batch=0.05s
40/13140 (epoch 0.091) train_loss=991.76965332 time/batch=0.16s
41/13140 (epoch 0.094) train_loss=2060.80688477 time/batch=0.31s
42/13140 (epoch 0.096) train_loss=1926.25585938 time/batch=0.28s
43/13140 (epoch 0.098) train_loss=1177.05322266 time/batch=0.20s
44/13140 (epoch 0.100) train_loss=737.97570801 time/batch=0.13s
45/13140 (epoch 0.103) train_loss=995.81945801 time/batch=0.20s
46/13140 (epoch 0.105) train_loss=709.92565918 time/batch=0.14s
47/13140 (epoch 0.107) train_loss=444.66165161 time/batch=0.07s
48/13140 (epoch 0.110) train_loss=1564.45336914 time/batch=0.23s
49/13140 (epoch 0.112) train_loss=798.25524902 time/batch=0.14s
50/13140 (epoch 0.114) train_loss=2953.26904297 time/batch=0.48s
51/13140 (epoch 0.116) train_loss=917.54394531 time/batch=0.18s
52/13140 (epoch 0.119) train_loss=6094.10205078 time/batch=0.87s
53/13140 (epoch 0.121) train_loss=1036.49902344 time/batch=0.19s
54/13140 (epoch 0.123) train_loss=880.95520020 time/batch=0.15s
55/13140 (epoch 0.126) train_loss=3935.75927734 time/batch=0.54s
56/13140 (epoch 0.128) train_loss=2366.44702148 time/batch=0.37s
57/13140 (epoch 0.130) train_loss=1318.29272461 time/batch=0.26s
58/13140 (epoch 0.132) train_loss=636.30163574 time/batch=0.12s
59/13140 (epoch 0.135) train_loss=426.75604248 time/batch=0.09s
60/13140 (epoch 0.137) train_loss=116.57070923 time/batch=0.03s
61/13140 (epoch 0.139) train_loss=759.16040039 time/batch=0.14s
62/13140 (epoch 0.142) train_loss=2085.27709961 time/batch=0.34s
63/13140 (epoch 0.144) train_loss=301.36087036 time/batch=0.06s
64/13140 (epoch 0.146) train_loss=2722.47949219 time/batch=0.43s
65/13140 (epoch 0.148) train_loss=2098.91357422 time/batch=0.37s
66/13140 (epoch 0.151) train_loss=549.88586426 time/batch=0.11s
67/13140 (epoch 0.153) train_loss=1608.53833008 time/batch=0.22s
68/13140 (epoch 0.155) train_loss=494.77929688 time/batch=0.10s
69/13140 (epoch 0.158) train_loss=996.59094238 time/batch=0.16s
70/13140 (epoch 0.160) train_loss=471.35101318 time/batch=0.10s
71/13140 (epoch 0.162) train_loss=582.25146484 time/batch=0.11s
72/13140 (epoch 0.164) train_loss=1595.99169922 time/batch=0.27s
73/13140 (epoch 0.167) train_loss=408.20715332 time/batch=0.08s
74/13140 (epoch 0.169) train_loss=1609.24047852 time/batch=0.28s
75/13140 (epoch 0.171) train_loss=212.39163208 time/batch=0.04s
76/13140 (epoch 0.174) train_loss=1301.05688477 time/batch=0.21s
77/13140 (epoch 0.176) train_loss=998.35327148 time/batch=0.19s
78/13140 (epoch 0.178) train_loss=1116.97949219 time/batch=0.20s
79/13140 (epoch 0.180) train_loss=173.75173950 time/batch=0.03s
80/13140 (epoch 0.183) train_loss=1149.66723633 time/batch=0.18s
81/13140 (epoch 0.185) train_loss=2776.04956055 time/batch=0.39s
82/13140 (epoch 0.187) train_loss=5826.91992188 time/batch=1.86s
83/13140 (epoch 0.189) train_loss=511.23446655 time/batch=0.19s
84/13140 (epoch 0.192) train_loss=1262.27124023 time/batch=0.21s
85/13140 (epoch 0.194) train_loss=1870.23413086 time/batch=0.26s
86/13140 (epoch 0.196) train_loss=1360.56665039 time/batch=0.25s
87/13140 (epoch 0.199) train_loss=154.16926575 time/batch=0.04s
88/13140 (epoch 0.201) train_loss=368.30603027 time/batch=0.08s
89/13140 (epoch 0.203) train_loss=311.76678467 time/batch=0.07s
90/13140 (epoch 0.205) train_loss=898.17633057 time/batch=0.16s
91/13140 (epoch 0.208) train_loss=531.41540527 time/batch=0.11s
92/13140 (epoch 0.210) train_loss=2630.94799805 time/batch=0.45s
93/13140 (epoch 0.212) train_loss=3180.04077148 time/batch=0.50s
94/13140 (epoch 0.215) train_loss=496.13720703 time/batch=0.12s
95/13140 (epoch 0.217) train_loss=1971.77172852 time/batch=0.35s
96/13140 (epoch 0.219) train_loss=202.86859131 time/batch=0.04s
97/13140 (epoch 0.221) train_loss=530.14019775 time/batch=0.12s
98/13140 (epoch 0.224) train_loss=822.56896973 time/batch=0.16s
99/13140 (epoch 0.226) train_loss=824.11840820 time/batch=0.19s
Validating
    loss:	764.128311

100/13140 (epoch 0.228) train_loss=310.09466553 time/batch=2.18s
101/13140 (epoch 0.231) train_loss=247.48831177 time/batch=0.07s
102/13140 (epoch 0.233) train_loss=196.22280884 time/batch=0.04s
103/13140 (epoch 0.235) train_loss=1152.30883789 time/batch=0.21s
104/13140 (epoch 0.237) train_loss=493.06817627 time/batch=0.10s
105/13140 (epoch 0.240) train_loss=3702.59399414 time/batch=0.96s
106/13140 (epoch 0.242) train_loss=443.69958496 time/batch=0.12s
107/13140 (epoch 0.244) train_loss=497.03118896 time/batch=0.10s
108/13140 (epoch 0.247) train_loss=1461.26123047 time/batch=0.35s
109/13140 (epoch 0.249) train_loss=462.70532227 time/batch=0.11s
110/13140 (epoch 0.251) train_loss=136.93420410 time/batch=0.03s
111/13140 (epoch 0.253) train_loss=1525.64428711 time/batch=0.22s
112/13140 (epoch 0.256) train_loss=203.37141418 time/batch=0.04s
113/13140 (epoch 0.258) train_loss=132.32891846 time/batch=0.03s
114/13140 (epoch 0.260) train_loss=788.76666260 time/batch=0.14s
115/13140 (epoch 0.263) train_loss=469.84429932 time/batch=0.11s
116/13140 (epoch 0.265) train_loss=579.27203369 time/batch=0.12s
117/13140 (epoch 0.267) train_loss=552.42858887 time/batch=0.11s
118/13140 (epoch 0.269) train_loss=1084.71337891 time/batch=0.17s
119/13140 (epoch 0.272) train_loss=359.85394287 time/batch=0.07s
120/13140 (epoch 0.274) train_loss=908.88452148 time/batch=0.19s
121/13140 (epoch 0.276) train_loss=339.93334961 time/batch=0.06s
122/13140 (epoch 0.279) train_loss=565.19390869 time/batch=0.12s
123/13140 (epoch 0.281) train_loss=843.55847168 time/batch=0.16s
124/13140 (epoch 0.283) train_loss=626.30810547 time/batch=0.10s
125/13140 (epoch 0.285) train_loss=458.63562012 time/batch=0.11s
126/13140 (epoch 0.288) train_loss=297.68048096 time/batch=0.06s
127/13140 (epoch 0.290) train_loss=439.28741455 time/batch=0.10s
128/13140 (epoch 0.292) train_loss=387.88009644 time/batch=0.08s
129/13140 (epoch 0.295) train_loss=622.30267334 time/batch=0.11s
130/13140 (epoch 0.297) train_loss=779.19616699 time/batch=0.14s
131/13140 (epoch 0.299) train_loss=182.56561279 time/batch=0.04s
132/13140 (epoch 0.301) train_loss=469.92681885 time/batch=0.09s
133/13140 (epoch 0.304) train_loss=277.36541748 time/batch=0.07s
134/13140 (epoch 0.306) train_loss=350.60650635 time/batch=0.06s
135/13140 (epoch 0.308) train_loss=292.94711304 time/batch=0.06s
136/13140 (epoch 0.311) train_loss=219.15780640 time/batch=0.04s
137/13140 (epoch 0.313) train_loss=486.46923828 time/batch=0.10s
138/13140 (epoch 0.315) train_loss=236.77777100 time/batch=0.05s
139/13140 (epoch 0.317) train_loss=320.85882568 time/batch=0.06s
140/13140 (epoch 0.320) train_loss=326.75897217 time/batch=0.08s
141/13140 (epoch 0.322) train_loss=316.79763794 time/batch=0.07s
142/13140 (epoch 0.324) train_loss=314.17868042 time/batch=0.05s
143/13140 (epoch 0.326) train_loss=186.88871765 time/batch=0.04s
144/13140 (epoch 0.329) train_loss=438.81082153 time/batch=0.08s
145/13140 (epoch 0.331) train_loss=721.66723633 time/batch=0.14s
146/13140 (epoch 0.333) train_loss=111.26785278 time/batch=0.04s
147/13140 (epoch 0.336) train_loss=642.51239014 time/batch=0.12s
148/13140 (epoch 0.338) train_loss=419.97753906 time/batch=0.09s
149/13140 (epoch 0.340) train_loss=427.29840088 time/batch=0.08s
150/13140 (epoch 0.342) train_loss=354.81488037 time/batch=0.08s
151/13140 (epoch 0.345) train_loss=669.34130859 time/batch=0.14s
152/13140 (epoch 0.347) train_loss=619.88757324 time/batch=0.12s
153/13140 (epoch 0.349) train_loss=358.72210693 time/batch=0.08s
154/13140 (epoch 0.352) train_loss=609.52746582 time/batch=0.10s
155/13140 (epoch 0.354) train_loss=629.83618164 time/batch=0.12s
156/13140 (epoch 0.356) train_loss=424.59729004 time/batch=0.09s
157/13140 (epoch 0.358) train_loss=165.44721985 time/batch=0.03s
158/13140 (epoch 0.361) train_loss=293.99908447 time/batch=0.06s
159/13140 (epoch 0.363) train_loss=683.43756104 time/batch=0.14s
160/13140 (epoch 0.365) train_loss=378.58059692 time/batch=0.07s
161/13140 (epoch 0.368) train_loss=554.24499512 time/batch=0.10s
162/13140 (epoch 0.370) train_loss=462.06539917 time/batch=0.10s
163/13140 (epoch 0.372) train_loss=477.38311768 time/batch=0.09s
164/13140 (epoch 0.374) train_loss=412.04223633 time/batch=0.09s
165/13140 (epoch 0.377) train_loss=310.27932739 time/batch=0.06s
166/13140 (epoch 0.379) train_loss=287.42227173 time/batch=0.07s
167/13140 (epoch 0.381) train_loss=486.24670410 time/batch=0.09s
168/13140 (epoch 0.384) train_loss=258.82745361 time/batch=0.06s
169/13140 (epoch 0.386) train_loss=934.62304688 time/batch=0.22s
170/13140 (epoch 0.388) train_loss=226.67639160 time/batch=0.07s
171/13140 (epoch 0.390) train_loss=334.84454346 time/batch=0.06s
172/13140 (epoch 0.393) train_loss=536.23571777 time/batch=0.10s
173/13140 (epoch 0.395) train_loss=681.55029297 time/batch=0.13s
174/13140 (epoch 0.397) train_loss=205.72877502 time/batch=0.05s
175/13140 (epoch 0.400) train_loss=361.65313721 time/batch=0.07s
176/13140 (epoch 0.402) train_loss=311.70535278 time/batch=0.06s
177/13140 (epoch 0.404) train_loss=147.07476807 time/batch=0.03s
178/13140 (epoch 0.406) train_loss=287.02160645 time/batch=0.06s
179/13140 (epoch 0.409) train_loss=549.86541748 time/batch=0.10s
180/13140 (epoch 0.411) train_loss=455.04772949 time/batch=0.09s
181/13140 (epoch 0.413) train_loss=349.00695801 time/batch=0.08s
182/13140 (epoch 0.416) train_loss=456.17028809 time/batch=0.09s
183/13140 (epoch 0.418) train_loss=447.25228882 time/batch=0.11s
184/13140 (epoch 0.420) train_loss=208.38458252 time/batch=0.05s
185/13140 (epoch 0.422) train_loss=487.88064575 time/batch=0.11s
186/13140 (epoch 0.425) train_loss=405.24829102 time/batch=0.09s
187/13140 (epoch 0.427) train_loss=263.93023682 time/batch=0.07s
188/13140 (epoch 0.429) train_loss=185.59735107 time/batch=0.03s
189/13140 (epoch 0.432) train_loss=573.15997314 time/batch=0.11s
190/13140 (epoch 0.434) train_loss=449.62414551 time/batch=0.09s
191/13140 (epoch 0.436) train_loss=344.44979858 time/batch=0.06s
192/13140 (epoch 0.438) train_loss=177.20526123 time/batch=0.04s
193/13140 (epoch 0.441) train_loss=354.21615601 time/batch=0.07s
194/13140 (epoch 0.443) train_loss=173.94122314 time/batch=0.04s
195/13140 (epoch 0.445) train_loss=200.33969116 time/batch=0.05s
196/13140 (epoch 0.447) train_loss=899.73059082 time/batch=0.14s
197/13140 (epoch 0.450) train_loss=331.91955566 time/batch=0.07s
198/13140 (epoch 0.452) train_loss=177.46229553 time/batch=0.05s
199/13140 (epoch 0.454) train_loss=534.43701172 time/batch=0.11s
Validating
    loss:	795.276034

200/13140 (epoch 0.457) train_loss=208.59338379 time/batch=2.13s
201/13140 (epoch 0.459) train_loss=273.92407227 time/batch=0.06s
202/13140 (epoch 0.461) train_loss=494.81170654 time/batch=0.10s
203/13140 (epoch 0.463) train_loss=472.76687622 time/batch=0.08s
204/13140 (epoch 0.466) train_loss=409.39517212 time/batch=0.08s
205/13140 (epoch 0.468) train_loss=509.04699707 time/batch=0.10s
206/13140 (epoch 0.470) train_loss=702.31127930 time/batch=0.13s
207/13140 (epoch 0.473) train_loss=679.74426270 time/batch=0.12s
208/13140 (epoch 0.475) train_loss=403.02050781 time/batch=0.08s
209/13140 (epoch 0.477) train_loss=277.54901123 time/batch=0.06s
210/13140 (epoch 0.479) train_loss=265.92089844 time/batch=0.05s
211/13140 (epoch 0.482) train_loss=321.58419800 time/batch=0.07s
212/13140 (epoch 0.484) train_loss=274.89340210 time/batch=0.06s
213/13140 (epoch 0.486) train_loss=277.45239258 time/batch=0.06s
214/13140 (epoch 0.489) train_loss=365.89801025 time/batch=0.08s
215/13140 (epoch 0.491) train_loss=224.40673828 time/batch=0.05s
216/13140 (epoch 0.493) train_loss=378.30685425 time/batch=0.07s
217/13140 (epoch 0.495) train_loss=397.09036255 time/batch=0.07s
218/13140 (epoch 0.498) train_loss=461.49426270 time/batch=0.11s
219/13140 (epoch 0.500) train_loss=332.14105225 time/batch=0.06s
220/13140 (epoch 0.502) train_loss=390.32333374 time/batch=0.09s
221/13140 (epoch 0.505) train_loss=310.51260376 time/batch=0.06s
222/13140 (epoch 0.507) train_loss=500.92739868 time/batch=0.10s
223/13140 (epoch 0.509) train_loss=506.80383301 time/batch=0.09s
224/13140 (epoch 0.511) train_loss=356.65698242 time/batch=0.07s
225/13140 (epoch 0.514) train_loss=582.82336426 time/batch=0.12s
226/13140 (epoch 0.516) train_loss=421.83032227 time/batch=0.07s
227/13140 (epoch 0.518) train_loss=430.36950684 time/batch=0.09s
228/13140 (epoch 0.521) train_loss=279.25079346 time/batch=0.07s
229/13140 (epoch 0.523) train_loss=493.37008667 time/batch=0.10s
230/13140 (epoch 0.525) train_loss=298.61901855 time/batch=0.06s
231/13140 (epoch 0.527) train_loss=414.22167969 time/batch=0.08s
232/13140 (epoch 0.530) train_loss=270.81005859 time/batch=0.07s
233/13140 (epoch 0.532) train_loss=267.52096558 time/batch=0.06s
234/13140 (epoch 0.534) train_loss=359.50180054 time/batch=0.07s
235/13140 (epoch 0.537) train_loss=379.12713623 time/batch=0.08s
236/13140 (epoch 0.539) train_loss=339.27456665 time/batch=0.06s
237/13140 (epoch 0.541) train_loss=382.22222900 time/batch=0.07s
238/13140 (epoch 0.543) train_loss=216.02865601 time/batch=0.05s
239/13140 (epoch 0.546) train_loss=508.65588379 time/batch=0.09s
240/13140 (epoch 0.548) train_loss=309.57379150 time/batch=0.07s
241/13140 (epoch 0.550) train_loss=474.38049316 time/batch=0.08s
242/13140 (epoch 0.553) train_loss=479.24475098 time/batch=0.11s
243/13140 (epoch 0.555) train_loss=273.04791260 time/batch=0.05s
244/13140 (epoch 0.557) train_loss=237.45687866 time/batch=0.05s
245/13140 (epoch 0.559) train_loss=328.61053467 time/batch=0.06s
246/13140 (epoch 0.562) train_loss=712.72656250 time/batch=0.12s
247/13140 (epoch 0.564) train_loss=261.28451538 time/batch=0.05s
248/13140 (epoch 0.566) train_loss=315.29052734 time/batch=0.06s
249/13140 (epoch 0.568) train_loss=366.77160645 time/batch=0.08s
250/13140 (epoch 0.571) train_loss=221.51638794 time/batch=0.05s
251/13140 (epoch 0.573) train_loss=348.36053467 time/batch=0.07s
252/13140 (epoch 0.575) train_loss=315.66128540 time/batch=0.07s
253/13140 (epoch 0.578) train_loss=453.24230957 time/batch=0.09s
