vocabulary size: 462
n tunes: 3688
n train tunes: 3504.0
n validation tunes: 184.0
min, max length 38 899
Building the model
  number of parameters: 6648722
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   213444     (8, None, 462)
    InputLayer                       0          (8, None)
    LSTMLayer                        1997824    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       237006     (None, 462)
Train model
1/13140 (epoch 0.002) train_loss=503.17816162 time/batch=0.06s
2/13140 (epoch 0.005) train_loss=396.82067871 time/batch=0.05s
3/13140 (epoch 0.007) train_loss=883.80828857 time/batch=0.10s
4/13140 (epoch 0.009) train_loss=516.66351318 time/batch=0.06s
5/13140 (epoch 0.011) train_loss=939.68139648 time/batch=0.14s
6/13140 (epoch 0.014) train_loss=488.63296509 time/batch=0.07s
7/13140 (epoch 0.016) train_loss=490.08996582 time/batch=0.07s
8/13140 (epoch 0.018) train_loss=606.18286133 time/batch=0.09s
9/13140 (epoch 0.021) train_loss=779.50726318 time/batch=0.12s
10/13140 (epoch 0.023) train_loss=753.87957764 time/batch=0.11s
11/13140 (epoch 0.025) train_loss=699.44543457 time/batch=0.11s
12/13140 (epoch 0.027) train_loss=455.29943848 time/batch=0.07s
13/13140 (epoch 0.030) train_loss=553.96630859 time/batch=0.08s
14/13140 (epoch 0.032) train_loss=856.66076660 time/batch=0.13s
15/13140 (epoch 0.034) train_loss=207.50192261 time/batch=0.03s
16/13140 (epoch 0.037) train_loss=1627.84375000 time/batch=0.44s
17/13140 (epoch 0.039) train_loss=394.88317871 time/batch=0.07s
18/13140 (epoch 0.041) train_loss=408.24795532 time/batch=0.06s
19/13140 (epoch 0.043) train_loss=583.59985352 time/batch=0.09s
20/13140 (epoch 0.046) train_loss=589.02886963 time/batch=0.09s
21/13140 (epoch 0.048) train_loss=199.95574951 time/batch=0.04s
22/13140 (epoch 0.050) train_loss=851.32073975 time/batch=0.12s
23/13140 (epoch 0.053) train_loss=366.17791748 time/batch=0.06s
24/13140 (epoch 0.055) train_loss=839.35766602 time/batch=0.12s
25/13140 (epoch 0.057) train_loss=249.36552429 time/batch=0.04s
26/13140 (epoch 0.059) train_loss=164.80786133 time/batch=0.03s
27/13140 (epoch 0.062) train_loss=360.90783691 time/batch=0.06s
28/13140 (epoch 0.064) train_loss=778.97460938 time/batch=0.12s
29/13140 (epoch 0.066) train_loss=666.14984131 time/batch=0.10s
30/13140 (epoch 0.068) train_loss=324.38327026 time/batch=0.06s
31/13140 (epoch 0.071) train_loss=1338.89709473 time/batch=0.50s
32/13140 (epoch 0.073) train_loss=186.82435608 time/batch=0.05s
