vocabulary size: 4476
n tunes: 3687
n train tunes: 3503.0
n validation tunes: 184.0
min, max length 14 2237
Building the model
  number of parameters: 36749708
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   20034576   (8, None, 4476)
    InputLayer                       0          (8, None)
    LSTMLayer                        10218496   (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       2296188    (None, 4476)
Train model
1/13136 (epoch 0.002) train_loss=2795.18896484 time/batch=0.36s
2/13136 (epoch 0.005) train_loss=10328.54687500 time/batch=2.16s
3/13136 (epoch 0.007) train_loss=2236.81909180 time/batch=0.31s
4/13136 (epoch 0.009) train_loss=1579.55725098 time/batch=0.19s
5/13136 (epoch 0.011) train_loss=639.23022461 time/batch=0.08s
6/13136 (epoch 0.014) train_loss=2004.48937988 time/batch=0.29s
7/13136 (epoch 0.016) train_loss=691.31787109 time/batch=0.12s
8/13136 (epoch 0.018) train_loss=296.54644775 time/batch=0.06s
9/13136 (epoch 0.021) train_loss=1446.88720703 time/batch=0.26s
10/13136 (epoch 0.023) train_loss=916.34338379 time/batch=0.20s
11/13136 (epoch 0.025) train_loss=3052.95507812 time/batch=0.51s
12/13136 (epoch 0.027) train_loss=2586.99829102 time/batch=0.45s
13/13136 (epoch 0.030) train_loss=295.04907227 time/batch=0.07s
14/13136 (epoch 0.032) train_loss=1392.67395020 time/batch=0.30s
15/13136 (epoch 0.034) train_loss=2008.02148438 time/batch=0.38s
16/13136 (epoch 0.037) train_loss=2731.77636719 time/batch=0.48s
17/13136 (epoch 0.039) train_loss=692.59143066 time/batch=0.15s
18/13136 (epoch 0.041) train_loss=140.51750183 time/batch=0.03s
19/13136 (epoch 0.043) train_loss=908.86145020 time/batch=0.20s
20/13136 (epoch 0.046) train_loss=511.24685669 time/batch=0.11s
21/13136 (epoch 0.048) train_loss=2233.55566406 time/batch=0.39s
22/13136 (epoch 0.050) train_loss=173.63055420 time/batch=0.05s
23/13136 (epoch 0.053) train_loss=189.67391968 time/batch=0.03s
24/13136 (epoch 0.055) train_loss=388.52148438 time/batch=0.08s
25/13136 (epoch 0.057) train_loss=604.60980225 time/batch=0.13s
26/13136 (epoch 0.059) train_loss=217.18701172 time/batch=0.05s
27/13136 (epoch 0.062) train_loss=828.85729980 time/batch=0.18s
28/13136 (epoch 0.064) train_loss=804.05456543 time/batch=0.19s
29/13136 (epoch 0.066) train_loss=527.72406006 time/batch=0.12s
30/13136 (epoch 0.069) train_loss=1463.52062988 time/batch=0.27s
31/13136 (epoch 0.071) train_loss=225.28585815 time/batch=0.06s
32/13136 (epoch 0.073) train_loss=598.23944092 time/batch=0.15s
33/13136 (epoch 0.075) train_loss=1091.92541504 time/batch=0.24s
34/13136 (epoch 0.078) train_loss=647.07946777 time/batch=0.15s
35/13136 (epoch 0.080) train_loss=983.17132568 time/batch=0.22s
36/13136 (epoch 0.082) train_loss=630.83990479 time/batch=0.15s
37/13136 (epoch 0.084) train_loss=1562.47094727 time/batch=0.28s
38/13136 (epoch 0.087) train_loss=1550.92236328 time/batch=0.31s
39/13136 (epoch 0.089) train_loss=6369.05664062 time/batch=1.42s
40/13136 (epoch 0.091) train_loss=311.87652588 time/batch=0.09s
41/13136 (epoch 0.094) train_loss=338.48767090 time/batch=0.07s
42/13136 (epoch 0.096) train_loss=475.15618896 time/batch=0.09s
43/13136 (epoch 0.098) train_loss=1078.35839844 time/batch=0.22s
44/13136 (epoch 0.100) train_loss=6434.49853516 time/batch=1.87s
45/13136 (epoch 0.103) train_loss=775.95910645 time/batch=0.22s
