vocabulary size: 5958
n tunes: 3688
n train tunes: 3504.0
n validation tunes: 184.0
min, max length 5 2452
Building the model
  number of parameters: 56008298
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   35497764   (8, None, 5958)
    InputLayer                       0          (8, None)
    LSTMLayer                        13253632   (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       3056454    (None, 5958)
Train model
1/43800 (epoch 0.002) train_loss=3875.47338867 time/batch=1.24s
2/43800 (epoch 0.005) train_loss=10590.70312500 time/batch=1.99s
3/43800 (epoch 0.007) train_loss=3031.74121094 time/batch=0.48s
4/43800 (epoch 0.009) train_loss=528.81286621 time/batch=0.10s
5/43800 (epoch 0.011) train_loss=562.36279297 time/batch=0.09s
6/43800 (epoch 0.014) train_loss=3065.75048828 time/batch=0.50s
7/43800 (epoch 0.016) train_loss=300.79626465 time/batch=0.07s
8/43800 (epoch 0.018) train_loss=617.90173340 time/batch=0.12s
9/43800 (epoch 0.021) train_loss=1328.66064453 time/batch=0.22s
10/43800 (epoch 0.023) train_loss=238.83355713 time/batch=0.06s
11/43800 (epoch 0.025) train_loss=458.18634033 time/batch=0.08s
12/43800 (epoch 0.027) train_loss=531.76745605 time/batch=0.10s
13/43800 (epoch 0.030) train_loss=2629.75341797 time/batch=0.45s
14/43800 (epoch 0.032) train_loss=3498.39794922 time/batch=0.54s
15/43800 (epoch 0.034) train_loss=1286.23876953 time/batch=0.25s
16/43800 (epoch 0.037) train_loss=9620.83007812 time/batch=1.74s
17/43800 (epoch 0.039) train_loss=5170.76269531 time/batch=0.77s
18/43800 (epoch 0.041) train_loss=632.24896240 time/batch=0.13s
19/43800 (epoch 0.043) train_loss=1494.82446289 time/batch=0.26s
20/43800 (epoch 0.046) train_loss=1008.40240479 time/batch=0.20s
21/43800 (epoch 0.048) train_loss=7722.02636719 time/batch=1.31s
22/43800 (epoch 0.050) train_loss=795.62567139 time/batch=0.18s
23/43800 (epoch 0.053) train_loss=411.19738770 time/batch=0.08s
24/43800 (epoch 0.055) train_loss=1522.89428711 time/batch=0.27s
25/43800 (epoch 0.057) train_loss=2114.56298828 time/batch=0.36s
26/43800 (epoch 0.059) train_loss=2581.66918945 time/batch=0.46s
27/43800 (epoch 0.062) train_loss=2264.28833008 time/batch=0.40s
28/43800 (epoch 0.064) train_loss=432.00384521 time/batch=0.09s
29/43800 (epoch 0.066) train_loss=406.82275391 time/batch=0.08s
30/43800 (epoch 0.068) train_loss=1862.97766113 time/batch=0.29s
31/43800 (epoch 0.071) train_loss=3577.04638672 time/batch=0.58s
32/43800 (epoch 0.073) train_loss=1943.97692871 time/batch=0.34s
33/43800 (epoch 0.075) train_loss=1355.41687012 time/batch=0.28s
34/43800 (epoch 0.078) train_loss=639.51690674 time/batch=0.13s
35/43800 (epoch 0.080) train_loss=1006.95965576 time/batch=0.22s
36/43800 (epoch 0.082) train_loss=1772.94055176 time/batch=0.31s
37/43800 (epoch 0.084) train_loss=245.41622925 time/batch=0.07s
38/43800 (epoch 0.087) train_loss=3731.70581055 time/batch=0.58s
39/43800 (epoch 0.089) train_loss=266.26531982 time/batch=0.08s
40/43800 (epoch 0.091) train_loss=957.35290527 time/batch=0.18s
41/43800 (epoch 0.094) train_loss=667.29327393 time/batch=0.14s
42/43800 (epoch 0.096) train_loss=1536.33361816 time/batch=0.28s
