vocabulary size: 474
n tunes: 3689
n train tunes: 3505.0
n validation tunes: 184.0
min, max length 2 1449
Building the model
  number of parameters: 6690686
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   224676     (8, None, 474)
    InputLayer                       0          (8, None)
    LSTMLayer                        2022400    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       243162     (None, 474)
Train model
1/43812 (epoch 0.002) train_loss=444.16503906 time/batch=0.07s
2/43812 (epoch 0.005) train_loss=942.56475830 time/batch=0.12s
3/43812 (epoch 0.007) train_loss=222.59890747 time/batch=0.04s
4/43812 (epoch 0.009) train_loss=1384.64306641 time/batch=0.20s
5/43812 (epoch 0.011) train_loss=780.36303711 time/batch=0.10s
6/43812 (epoch 0.014) train_loss=1079.97412109 time/batch=0.15s
7/43812 (epoch 0.016) train_loss=588.54217529 time/batch=0.08s
8/43812 (epoch 0.018) train_loss=437.36401367 time/batch=0.07s
9/43812 (epoch 0.021) train_loss=540.04376221 time/batch=0.16s
10/43812 (epoch 0.023) train_loss=583.25103760 time/batch=0.09s
11/43812 (epoch 0.025) train_loss=1558.95458984 time/batch=0.49s
12/43812 (epoch 0.027) train_loss=683.60131836 time/batch=0.10s
13/43812 (epoch 0.030) train_loss=297.08880615 time/batch=0.04s
14/43812 (epoch 0.032) train_loss=268.42977905 time/batch=0.05s
15/43812 (epoch 0.034) train_loss=646.65979004 time/batch=0.10s
16/43812 (epoch 0.037) train_loss=405.35382080 time/batch=0.06s
17/43812 (epoch 0.039) train_loss=846.36840820 time/batch=0.14s
18/43812 (epoch 0.041) train_loss=417.56018066 time/batch=0.07s
19/43812 (epoch 0.043) train_loss=429.50329590 time/batch=0.07s
20/43812 (epoch 0.046) train_loss=534.27996826 time/batch=0.09s
21/43812 (epoch 0.048) train_loss=208.83830261 time/batch=0.04s
22/43812 (epoch 0.050) train_loss=783.51281738 time/batch=0.12s
23/43812 (epoch 0.052) train_loss=496.55371094 time/batch=0.08s
24/43812 (epoch 0.055) train_loss=920.92877197 time/batch=0.50s
25/43812 (epoch 0.057) train_loss=464.10867310 time/batch=0.08s
26/43812 (epoch 0.059) train_loss=529.67321777 time/batch=0.08s
27/43812 (epoch 0.062) train_loss=886.81530762 time/batch=0.12s
28/43812 (epoch 0.064) train_loss=1038.53222656 time/batch=0.17s
29/43812 (epoch 0.066) train_loss=383.64187622 time/batch=0.07s
30/43812 (epoch 0.068) train_loss=594.70959473 time/batch=0.09s
31/43812 (epoch 0.071) train_loss=584.08764648 time/batch=0.09s
32/43812 (epoch 0.073) train_loss=555.53839111 time/batch=0.09s
33/43812 (epoch 0.075) train_loss=188.23448181 time/batch=0.03s
34/43812 (epoch 0.078) train_loss=782.94244385 time/batch=0.13s
35/43812 (epoch 0.080) train_loss=323.46090698 time/batch=0.06s
36/43812 (epoch 0.082) train_loss=790.11749268 time/batch=0.11s
37/43812 (epoch 0.084) train_loss=227.42596436 time/batch=0.04s
38/43812 (epoch 0.087) train_loss=167.43234253 time/batch=0.03s
39/43812 (epoch 0.089) train_loss=719.34570312 time/batch=0.12s
40/43812 (epoch 0.091) train_loss=443.48086548 time/batch=0.07s
41/43812 (epoch 0.094) train_loss=633.14239502 time/batch=0.10s
42/43812 (epoch 0.096) train_loss=313.72595215 time/batch=0.06s
43/43812 (epoch 0.098) train_loss=467.04943848 time/batch=0.07s
44/43812 (epoch 0.100) train_loss=405.22143555 time/batch=0.08s
45/43812 (epoch 0.103) train_loss=271.65356445 time/batch=0.04s
46/43812 (epoch 0.105) train_loss=646.69335938 time/batch=0.50s
47/43812 (epoch 0.107) train_loss=361.12802124 time/batch=0.08s
48/43812 (epoch 0.110) train_loss=151.19584656 time/batch=0.03s
49/43812 (epoch 0.112) train_loss=537.72741699 time/batch=0.08s
50/43812 (epoch 0.114) train_loss=421.10723877 time/batch=0.08s
51/43812 (epoch 0.116) train_loss=875.77014160 time/batch=0.14s
52/43812 (epoch 0.119) train_loss=549.28442383 time/batch=0.08s
53/43812 (epoch 0.121) train_loss=642.11865234 time/batch=0.15s
54/43812 (epoch 0.123) train_loss=363.23004150 time/batch=0.06s
55/43812 (epoch 0.126) train_loss=314.58203125 time/batch=0.05s
56/43812 (epoch 0.128) train_loss=659.02392578 time/batch=0.11s
57/43812 (epoch 0.130) train_loss=203.11332703 time/batch=0.05s
58/43812 (epoch 0.132) train_loss=529.19335938 time/batch=0.08s
59/43812 (epoch 0.135) train_loss=901.68444824 time/batch=0.15s
60/43812 (epoch 0.137) train_loss=918.59033203 time/batch=0.39s
61/43812 (epoch 0.139) train_loss=363.71224976 time/batch=0.06s
62/43812 (epoch 0.142) train_loss=161.34085083 time/batch=0.03s
63/43812 (epoch 0.144) train_loss=285.93170166 time/batch=0.05s
64/43812 (epoch 0.146) train_loss=459.52972412 time/batch=0.07s
65/43812 (epoch 0.148) train_loss=1725.73266602 time/batch=0.84s
