vocabulary size: 4191
n tunes: 3689
n train tunes: 3505.0
n validation tunes: 184.0
min, max length 2 2452
Building the model
  number of parameters: 33549728
  layer output shapes:               #params:   output shape:
    InputLayer                       0          (8, None)
    EmbeddingLayer                   17564481   (8, None, 4191)
    InputLayer                       0          (8, None)
    LSTMLayer                        9634816    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    LSTMLayer                        2100224    (8, None, 512)
    DropoutLayer                     0          (8, None, 512)
    ReshapeLayer                     0          (None, 512)
    DenseLayer                       2149983    (None, 4191)
Train model
1/43812 (epoch 0.002) train_loss=2534.42993164 time/batch=0.37s
2/43812 (epoch 0.005) train_loss=1310.66906738 time/batch=0.18s
3/43812 (epoch 0.007) train_loss=2855.71313477 time/batch=0.47s
4/43812 (epoch 0.009) train_loss=297.31225586 time/batch=0.07s
5/43812 (epoch 0.011) train_loss=945.49835205 time/batch=0.19s
6/43812 (epoch 0.014) train_loss=2081.00634766 time/batch=0.38s
7/43812 (epoch 0.016) train_loss=415.46978760 time/batch=0.11s
8/43812 (epoch 0.018) train_loss=1695.29882812 time/batch=0.33s
9/43812 (epoch 0.021) train_loss=1261.49707031 time/batch=0.26s
10/43812 (epoch 0.023) train_loss=724.56213379 time/batch=0.19s
11/43812 (epoch 0.025) train_loss=1032.15478516 time/batch=0.24s
12/43812 (epoch 0.027) train_loss=4178.08007812 time/batch=2.55s
13/43812 (epoch 0.030) train_loss=1362.57409668 time/batch=0.41s
14/43812 (epoch 0.032) train_loss=526.00048828 time/batch=0.12s
15/43812 (epoch 0.034) train_loss=4069.97900391 time/batch=0.68s
16/43812 (epoch 0.037) train_loss=1442.85522461 time/batch=0.32s
17/43812 (epoch 0.039) train_loss=1015.50531006 time/batch=0.24s
18/43812 (epoch 0.041) train_loss=497.43655396 time/batch=0.11s
19/43812 (epoch 0.043) train_loss=4227.69628906 time/batch=0.82s
20/43812 (epoch 0.046) train_loss=2948.57568359 time/batch=0.66s
21/43812 (epoch 0.048) train_loss=484.36553955 time/batch=0.13s
22/43812 (epoch 0.050) train_loss=2248.43164062 time/batch=0.40s
23/43812 (epoch 0.052) train_loss=875.68188477 time/batch=0.20s
24/43812 (epoch 0.055) train_loss=2134.35400391 time/batch=0.44s
25/43812 (epoch 0.057) train_loss=800.63055420 time/batch=0.20s
26/43812 (epoch 0.059) train_loss=253.16018677 time/batch=0.07s
27/43812 (epoch 0.062) train_loss=1779.37829590 time/batch=0.37s
28/43812 (epoch 0.064) train_loss=367.24832153 time/batch=0.08s
29/43812 (epoch 0.066) train_loss=4663.95507812 time/batch=0.95s
30/43812 (epoch 0.068) train_loss=641.12414551 time/batch=0.16s
31/43812 (epoch 0.071) train_loss=336.90753174 time/batch=0.08s
32/43812 (epoch 0.073) train_loss=319.23339844 time/batch=0.07s
33/43812 (epoch 0.075) train_loss=819.97723389 time/batch=0.19s
34/43812 (epoch 0.078) train_loss=1263.65307617 time/batch=0.28s
35/43812 (epoch 0.080) train_loss=523.03363037 time/batch=0.13s
36/43812 (epoch 0.082) train_loss=9543.83984375 time/batch=1.98s
37/43812 (epoch 0.084) train_loss=691.21154785 time/batch=0.23s
38/43812 (epoch 0.087) train_loss=249.16926575 time/batch=0.07s
39/43812 (epoch 0.089) train_loss=1105.19787598 time/batch=0.23s
40/43812 (epoch 0.091) train_loss=881.29187012 time/batch=0.21s
41/43812 (epoch 0.094) train_loss=469.12121582 time/batch=0.12s
42/43812 (epoch 0.096) train_loss=680.05529785 time/batch=0.16s
43/43812 (epoch 0.098) train_loss=1417.01013184 time/batch=0.26s
44/43812 (epoch 0.100) train_loss=321.95083618 time/batch=0.07s
